name,category,calories,protein,fat,carbohydrates,sugar,fiber,salt
白米(ご飯),主食,168,2.5,0.3,37.1,0.0,0.3,0.0
玄米ご飯,主食,152,2.8,1.0,35.6,0.0,1.4,0.0
食パン,主食,264,9.3,4.4,46.7,5.0,2.3,1.2
うどん(ゆで),主食,95,2.6,0.4,21.6,0.0,1.3,0.3
そば(ゆで),主食,132,4.8,1.0,27.0,0.0,2.9,0.0
スパゲッティ(ゆで),主食,165,5.8,0.9,32.2,0.0,1.5,0.0
中華麺(ゆで),主食,149,4.9,0.6,29.2,0.0,1.3,0.2
もち,主食,235,4.0,0.6,50.8,0.0,0.5,0.0
オートミール,主食,380,13.7,5.7,69.1,0.0,9.4,0.0
鶏むね肉(皮なし),肉類,116,23.3,1.9,0.1,0.0,0.0,0.1
鶏もも肉(皮付き),肉類,200,16.6,14.2,0.0,0.0,0.0,0.2
鶏ささみ,肉類,98,23.0,0.5,0.1,0.0,0.0,0.1
豚ロース,肉類,263,19.3,19.2,0.2,0.0,0.0,0.1
豚バラ肉,肉類,386,14.2,34.6,0.1,0.0,0.0,0.1
牛もも肉,肉類,196,21.2,11.9,0.5,0.0,0.0,0.1
牛バラ肉,肉類,338,14.4,32.9,0.1,0.0,0.0,0.1
合挽き肉,肉類,224,17.2,16.7,0.4,0.0,0.0,0.2
ベーコン,肉類,400,12.9,39.1,0.3,0.0,0.0,2.0
ウインナーソーセージ,肉類,321,11.5,30.6,3.3,0.0,0.0,1.9
唐揚げ,肉類,290,18.0,17.0,12.0,0.0,0.5,1.0
とんかつ,肉類,400,17.0,32.0,15.0,0.0,0.8,1.0
焼き鳥(タレ),肉類,200,17.0,11.0,7.0,5.0,0.0,1.2
鮭(焼き),魚介類,180,25.5,8.4,0.1,0.0,0.0,0.3
さば(焼き),魚介類,254,25.2,16.5,0.2,0.0,0.0,0.4
まぐろ(赤身),魚介類,115,26.4,0.8,0.1,0.0,0.0,0.1
えび,魚介類,82,18.4,0.3,0.3,0.0,0.0,0.4
いか,魚介類,76,17.9,0.8,0.1,0.0,0.0,0.5
卵(全卵),魚介類,151,12.3,10.3,0.3,0.3,0.0,0.4
牛乳,乳製品,67,3.3,3.8,4.8,4.8,0.0,0.1
ヨーグルト(無糖),乳製品,62,3.6,3.0,4.9,4.9,0.0,0.1
チーズ(プロセス),乳製品,339,22.7,26.0,1.3,0.0,0.0,2.8
バター,乳製品,700,0.6,77.0,0.2,0.2,0.0,1.9
キャベツ,野菜,23,1.3,0.2,5.2,3.2,1.8,0.0
レタス,野菜,12,0.6,0.1,2.8,1.8,1.1,0.0
トマト,野菜,19,0.7,0.1,4.7,3.1,1.0,0.0
きゅうり,野菜,14,1.0,0.1,3.0,1.5,1.1,0.0
にんじん,野菜,35,0.7,0.1,8.7,4.5,2.4,0.1
じゃがいも,野菜,76,1.6,0.1,17.6,0.8,1.3,0.0
ほうれん草,野菜,20,2.2,0.4,3.1,0.4,2.8,0.2
ブロッコリー,野菜,33,4.3,0.5,5.2,1.6,4.4,0.0
なす,野菜,22,1.1,0.1,5.1,3.0,2.2,0.0
ねぎ,野菜,28,1.4,0.1,6.5,3.0,2.5,0.0
もやし,野菜,14,1.7,0.1,2.6,0.6,1.3,0.0
玉ねぎ,野菜,37,1.0,0.1,8.8,5.0,1.5,0.0
納豆,豆類,190,16.5,10.0,12.1,2.2,6.7,0.0
豆腐(木綿),豆類,72,6.6,4.2,1.6,0.7,0.4,0.0
豆腐(絹),豆類,56,4.9,3.0,2.0,0.9,0.3,0.0
味噌,豆類,192,12.5,6.0,21.9,6.7,4.1,12.4
バナナ,果物,86,1.1,0.2,22.5,19.0,1.1,0.0
りんご,果物,54,0.2,0.1,14.6,12.4,1.4,0.0
みかん,果物,46,0.7,0.1,11.5,9.2,0.8,0.0
いちご,果物,31,0.9,0.1,7.1,5.1,1.4,0.0
ぶどう,果物,59,0.4,0.1,15.2,15.0,0.5,0.0
ポテトチップス,菓子類,554,4.7,35.2,54.7,0.5,4.2,1.0
チョコレート(ミルク),菓子類,558,6.9,34.1,55.8,55.0,3.9,0.2
クッキー,菓子類,500,5.6,24.4,64.0,30.0,1.6,0.5
アイスクリーム,菓子類,180,3.9,8.0,23.2,21.0,0.1,0.2
プリン,菓子類,126,5.5,5.0,14.7,14.0,0.0,0.2
ショートケーキ,菓子類,344,6.4,16.6,43.5,33.0,0.7,0.2
どら焼き,菓子類,282,6.0,3.2,57.5,35.0,1.5,0.3
せんべい(醤油),菓子類,373,7.3,1.0,83.5,5.0,0.6,1.7
コーラ,飲料,45,0.0,0.0,11.4,11.4,0.0,0.0
オレンジジュース,飲料,42,0.7,0.1,9.5,9.0,0.3,0.0
スポーツドリンク,飲料,21,0.0,0.0,5.1,5.1,0.0,0.1
ビール,飲料,40,0.3,0.0,3.1,0.0,0.0,0.0
日本酒,飲料,107,0.4,0.0,3.6,0.0,0.0,0.0
コーヒー(無糖),飲料,4,0.2,0.0,0.7,0.0,0.0,0.0
緑茶,飲料,0,0.2,0.0,0.2,0.0,0.0,0.0
烏龍茶,飲料,0,0.0,0.0,0.1,0.0,0.0,0.0
カフェラテ,飲料,55,2.5,3.0,4.8,4.5,0.0,0.1
ハンバーガー,外食,270,13.0,11.0,30.0,5.0,1.5,1.5
フライドポテト,外食,312,3.8,16.0,38.5,0.5,3.1,1.0
牛丼,外食,180,7.0,6.0,24.0,4.0,0.5,1.0
カレーライス,外食,150,3.5,4.5,23.0,3.0,1.0,0.8
天ぷら(エビ),外食,240,12.0,14.0,17.0,0.5,0.5,0.8
寿司(にぎり),外食,180,7.5,1.0,35.0,3.0,0.3,1.0
ピザ(マルゲリータ),外食,250,10.0,9.0,32.0,3.0,2.0,1.3
パスタ(カルボナーラ),外食,210,8.0,10.0,22.0,1.5,1.0,1.0
ラーメン(豚骨),外食,140,6.0,5.5,17.0,1.0,1.0,1.5
マヨネーズ,調味料,703,1.4,75.3,3.6,3.0,0.0,1.9
ケチャップ,調味料,106,1.6,0.2,25.6,21.0,0.6,3.1
醤油,調味料,71,7.7,0.0,10.1,2.0,0.0,14.5
ドレッシング(和風),調味料,82,1.6,5.4,7.7,5.0,0.0,3.0
